target_region,source_region,source_unit,source_prize,source_index,transform,axis,lag,window,days,h1_hits,h1_rate,h1_baseline,h1_lift_pp,h1_raw_p,h2_hits,h2_rate,h2_baseline,h2_lift_pp,h2_raw_p,score
MN,MT,Khánh Hòa,G2,1,SECOND_HEAD_TAIL,D-3,3,180,52,29,0.5576923076923077,0.4665384615384616,9.115384615384608,0.11927741330597841,4,0.07692307692307693,0.034423076923076945,4.249999999999998,0.09668108582723069,14.215384615384606
MT,MT,Khánh Hòa,G2,1,LAST2_REV,W-2,14,180,52,25,0.4807692307692308,0.35480769230769227,12.596153846153852,0.039755745531757355,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,14.211538461538465
MT,MT,Khánh Hòa,G2,1,P5P4,W-2,14,180,52,25,0.4807692307692308,0.35480769230769227,12.596153846153852,0.039755745531757355,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,14.211538461538465
MT,MT,Khánh Hòa,G1,1,FIRST2,W-4,28,180,52,25,0.4807692307692308,0.35480769230769227,12.596153846153852,0.039755745531757355,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,14.211538461538465
MT,MT,Khánh Hòa,G1,1,HEAD_TAIL,W-1,7,180,52,25,0.4807692307692308,0.35480769230769227,12.596153846153852,0.039755745531757355,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,14.211538461538465
MT,MT,Khánh Hòa,G1,1,P1P2,W-4,28,180,52,25,0.4807692307692308,0.35480769230769227,12.596153846153852,0.039755745531757355,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,14.211538461538465
MT,MT,Khánh Hòa,G1,1,P1P5,W-1,7,180,52,25,0.4807692307692308,0.35480769230769227,12.596153846153852,0.039755745531757355,2,0.038461538461538464,0.02500000000000002,1.3461538461538445,0.4295004052060517,14.211538461538465
MT,MB,MB_BOARD,G2,1,P4P1,D-1,1,180,176,76,0.4318181818181818,0.35227272727272724,7.954545454545459,0.016573211351097423,9,0.05113636363636364,0.024261363636363605,2.6875000000000036,0.019117168221313183,14.179545454545462
MN,MN,TP. HCM,G2,1,HEAD_TAIL,W-1,7,180,51,26,0.5098039215686274,0.4676470588235294,4.2156862745098,0.32165966524056794,6,0.11764705882352941,0.0347058823529412,8.29411764705882,0.0021613785604348975,14.168627450980384
MN,MN,TP. HCM,G2,1,P1P5,W-1,7,180,51,26,0.5098039215686274,0.4676470588235294,4.2156862745098,0.32165966524056794,6,0.11764705882352941,0.0347058823529412,8.29411764705882,0.0021613785604348975,14.168627450980384
MN,MT,Khánh Hòa,G2,1,P3P2,D-6,6,180,51,27,0.5294117647058824,0.4637254901960786,6.568627450980374,0.21177763139304123,5,0.09803921568627451,0.0347058823529412,6.333333333333331,0.0183738418096401,14.16862745098037
